Continent,Country,Year,Value
Europe,Slovakia,2014,18.27
Europe,Slovakia,2015,18.2
Europe,Slovakia,2016,17.58
Europe,Slovakia,2017,17.43
Europe,Slovakia,2018,17.7
Europe,Slovakia,2019,17.24
Europe,Slovenia,2004,16.89
Europe,Slovenia,2005,16.87
Europe,Slovenia,2006,16.81
Europe,Slovenia,2007,16.88
Europe,Slovenia,2008,16.71
Europe,Slovenia,2009,17.03
Europe,Slovenia,2010,16.98
Europe,Slovenia,2011,16.95
Europe,Slovenia,2012,17.17
Europe,Slovenia,2013,17.45
Europe,Slovenia,2014,17.28
Europe,Slovenia,2015,17.36
Europe,Slovenia,2016,17.23
Europe,Slovenia,2017,16.74
Europe,Slovenia,2018,16.83
Europe,Slovenia,2019,16.98
Oceania,Solomon Islands,2005,50.6
Oceania,Solomon Islands,2012,26.6
Asia,South Korea,2006,16.36
Asia,South Korea,2008,16.25
Asia,South Korea,2010,16.12
Asia,South Korea,2012,16.15
Asia,South Korea,2014,16.02
Asia,South Korea,2016,16.22
Africa,South Sudan,2009,34.5
Africa,South Sudan,2016,67.3
Europe,Spain,2000,19.74
Europe,Spain,2003,19.98
Europe,Spain,2004,24.39
Europe,Spain,2005,19.86
Europe,Spain,2006,24.56
Europe,Spain,2007,24.59
Europe,Spain,2008,24.82
Europe,Spain,2009,24.73
Europe,Spain,2010,24.9
Europe,Spain,2011,25.69
Europe,Spain,2012,25.72
Europe,Spain,2013,26.07
Europe,Spain,2014,25.74
Europe,Spain,2015,25.93
Europe,Spain,2016,25.58
Europe,Spain,2017,25.08
Europe,Spain,2018,24.95
Europe,Spain,2019,25.08
Africa,Sudan,2009,18.6
Africa,Sudan,2014,15.3
Europe,Sweden,2000,17.37
Europe,Sweden,2003,17.37
Europe,Sweden,2004,17.28
Europe,Sweden,2005,17.62
Europe,Sweden,2006,17.28
Europe,Sweden,2007,17.35
Europe,Sweden,2008,17.25
Europe,Sweden,2009,17.53
Europe,Sweden,2010,17.54
Europe,Sweden,2011,17.43
Europe,Sweden,2012,17.33
Europe,Sweden,2013,17.7
Europe,Sweden,2014,17.56
Europe,Sweden,2015,17.74
Europe,Sweden,2016,18.05
Europe,Sweden,2017,17.66
Europe,Sweden,2018,18.15
Europe,Sweden,2019,17.95
Europe,Switzerland,2000,9.74
Europe,Switzerland,2002,9.89
Europe,Switzerland,2006,16.56
Europe,Switzerland,2007,16.19
Europe,Switzerland,2008,16.36
Europe,Switzerland,2009,15.95
Europe,Switzerland,2010,15.96
Europe,Switzerland,2011,15.97
Europe,Switzerland,2012,9.86
Europe,Switzerland,2013,16.05
Europe,Switzerland,2014,15.93
Europe,Switzerland,2015,16.01
Europe,Switzerland,2016,15.97
Europe,Switzerland,2017,15.96
Europe,Switzerland,2018,16.37
Asia,Syria,2000,9.44
Asia,Syria,2005,9.57
Asia,Syria,2007,9.63
Asia,Syria,2010,15.99
Asia,Syria,2013,9.89
Asia,Syria,2016,9.57
Africa,Tanzania,2000,84
Africa,Tanzania,2007,56.2
Africa,Tanzania,2011,44.7
Africa,Tanzania,2018,33.6
Asia,Timor-Leste,2001,40.9
Asia,Timor-Leste,2007,40.9
Asia,Timor-Leste,2014,24.4
Africa,Togo,2006,61
Africa,Togo,2011,58.9
Africa,Togo,2015,54.7
Africa,Togo,2018,23
Oceania,Tuvalu,2010,3.6
Africa,Uganda,2002,66.7
Africa,Uganda,2005,58
Africa,Uganda,2009,46.7
Africa,Uganda,2012,37.5
Africa,Uganda,2016,42.7
Africa,Uganda,2019,32.2
Asia,United Arab Emirates,2013,19.59
Europe,United Kingdom,2000,16.7
Europe,United Kingdom,2001,16.51
Europe,United Kingdom,2002,16.39
Europe,United Kingdom,2003,16.44
Europe,United Kingdom,2004,16.94
Europe,United Kingdom,2005,16.7
Europe,United Kingdom,2006,16.5
Europe,United Kingdom,2007,16.36
Europe,United Kingdom,2008,16.21
Europe,United Kingdom,2009,16.83
Europe,United Kingdom,2010,16.44
Europe,United Kingdom,2011,16.57
Europe,United Kingdom,2012,16.73
Europe,United Kingdom,2013,16.9
Europe,United Kingdom,2014,16.89
Europe,United Kingdom,2015,16.42
Europe,United Kingdom,2016,16.63
Europe,United Kingdom,2017,17.12
Americas,United States of America,2000,18.5
Americas,United States of America,2001,18.69
Americas,United States of America,2002,18.95
Americas,United States of America,2003,18.92
Americas,United States of America,2004,18.69
Americas,United States of America,2005,18.8
Americas,United States of America,2006,18.86
Americas,United States of America,2007,18.98
Americas,United States of America,2008,19.01
Americas,United States of America,2009,18.66
Americas,United States of America,2010,18.77
Americas,United States of America,2011,18.84
Americas,United States of America,2012,19
Americas,United States of America,2013,18.98
Americas,United States of America,2014,18.48
Americas,United States of America,2015,18.57
Americas,United States of America,2016,18.84
Americas,United States of America,2017,19.12
Americas,United States of America,2018,19.06
Americas,United States of America,2019,19.05
Americas,Uruguay,2000,19.68
Americas,Uruguay,2001,19.8
Americas,Uruguay,2002,23.37
Americas,Uruguay,2003,19.33
Americas,Uruguay,2004,23.49
Americas,Uruguay,2005,23.12
Americas,Uruguay,2006,19.66
Americas,Uruguay,2007,19.79
Americas,Uruguay,2008,19.38
Americas,Uruguay,2009,19.9
Americas,Uruguay,2010,19.47
Americas,Uruguay,2011,19.13
Americas,Uruguay,2012,18.75
Americas,Uruguay,2013,18.96
Americas,Uruguay,2014,18.79
Americas,Uruguay,2015,19.06
Americas,Uruguay,2016,18.66
Americas,Uruguay,2017,18.41
Americas,Uruguay,2018,18.4
Americas,Uruguay,2019,18.61
Americas,Uruguay,2020,18.97
Oceania,Vanuatu,2010,14.7
Oceania,Vanuatu,2019,10.6
Americas,Venezuela,2001,23.25
Americas,Venezuela,2002,23.77
Americas,Venezuela,2003,23.76
Americas,Venezuela,2004,23.56
Americas,Venezuela,2005,24.04
Americas,Venezuela,2006,22.54
Asia,Yemen,2005,10.5
Asia,Yemen,2014,19.8
