ISO3 Code,Year,Gender,Gender Population,Gender % Population,Median Daily Gender Income €,% of Gender Population under Poverty Line
BGR,2007,Male,3673271,0.48682664628461,11.950378155239,17.28
BGR,2008,Male,3647980,0.48688029080067,13.625811479763,17.51
BGR,2009,Male,3624813,0.4869153685645,14.425891777005,17.77
BGR,2010,Male,3601216,0.48694043978212,13.605279394173,18.15
BGR,2011,Male,3578648,0.48700177802058,12.812840992752,17.47
BGR,2012,Male,3556381,0.48678285255098,13.13922994594,17.79
BGR,2013,Male,3535613,0.48665628304939,14.560533195018,18.33
BGR,2014,Male,3514369,0.48648939222656,15.085488653594,18.15
BGR,2015,Male,3490244,0.48624253318223,14.539145846315,18.49
BGR,2016,Male,3464557,0.48606122298353,16.605872364709,18.33
BGR,2017,Male,3437390,0.48578520074814,16.383688823107,17.83
BGR,2018,Male,3410274,0.4854457439496,18.441230051139,17.60
BGR,2019,Male,3383923,0.4850974401714,19.604923402256,17.77
BFA,2003,Male,,,,0.00
BFA,2009,Male,,,,0.00
BFA,2014,Male,,,,0.00
BFA,2018,Male,,,,0.00
BDI,2006,Male,,,,0.00
BDI,2013,Male,,,,0.00
CAN,2000,Male,,,,15.00
CAN,2004,Male,,,,15.21
CAN,2007,Male,,,,9.91
CAN,2010,Male,,,,15.06
CAN,2012,Male,,,,15.46
CAN,2013,Male,,,,15.44
CAN,2014,Male,,,,15.04
CAN,2015,Male,,,,15.36
CAN,2016,Male,,,,9.86
CAN,2017,Male,,,,15.26
CAF,2008,Male,,,,0.00
CAF,2021,Male,,,,0.00
TCD,2003,Male,,,,0.00
TCD,2011,Male,,,,0.00
TCD,2018,Male,,,,0.00
CHL,2000,Male,,,,17.80
CHL,2003,Male,,,,17.88
CHL,2006,Male,,,,16.42
CHL,2009,Male,,,,15.94
CHL,2011,Male,,,,15.87
CHL,2013,Male,,,,15.66
CHL,2015,Male,,,,15.47
CHL,2017,Male,,,,15.51
CHL,2020,Male,,,,15.67
COL,2000,Male,,,,19.87
COL,2001,Male,,,,22.05
COL,2002,Male,,,,19.30
COL,2003,Male,,,,18.57
COL,2004,Male,,,,18.36
COL,2005,Male,,,,18.60
COL,2008,Male,,,,22.56
COL,2009,Male,,,,19.53
COL,2010,Male,,,,19.35
COL,2011,Male,,,,19.17
COL,2012,Male,,,,19.24
COL,2013,Male,,,,19.29
COL,2014,Male,,,,19.26
COL,2015,Male,,,,18.85
COL,2016,Male,,,,18.51
COL,2017,Male,,,,18.33
COL,2018,Male,,,,18.46
COL,2019,Male,,,,18.94
COL,2020,Male,,,,21.99
COM,2004,Male,,,,0.00
COM,2014,Male,,,,0.00
CRI,2000,Male,,,,18.72
CRI,2001,Male,,,,18.84
CRI,2002,Male,,,,18.65
CRI,2003,Male,,,,19.23
CRI,2004,Male,,,,18.29
CRI,2005,Male,,,,17.96
CRI,2006,Male,,,,17.88
CRI,2007,Male,,,,17.37
CRI,2008,Male,,,,17.53
CRI,2009,Male,,,,18.32
CRI,2010,Male,,,,17.31
CRI,2011,Male,,,,18.35
CRI,2012,Male,,,,18.12
CRI,2013,Male,,,,17.94
CRI,2014,Male,,,,18.06
CRI,2015,Male,,,,17.55
CRI,2016,Male,,,,17.97
CRI,2017,Male,,,,17.49
CRI,2018,Male,,,,17.71
CRI,2019,Male,,,,17.77
CRI,2020,Male,,,,18.35
HRV,2009,Male,2074543,0.48187129970885,,0.00
HRV,2010,Male,2071073,0.48215774346613,18.1363030175,17.96
HRV,2011,Male,2064298,0.48224264818151,17.562558293366,18.26
HRV,2012,Male,2058245,0.48230044827109,16.445532957808,17.97
HRV,2013,Male,2053370,0.48250010558076,16.63028648097,18.14
HRV,2014,Male,2045684,0.48265603656769,17.541305271878,17.84
HRV,2015,Male,2028748,0.48262118146903,18.580611495022,18.10
HRV,2016,Male,2014919,0.48269071119671,20.164055590592,17.63
HRV,2017,Male,1990882,0.48269311178796,21.406189703555,17.37
HRV,2018,Male,1973279,0.4827188841876,22.663075848254,16.96
HRV,2019,Male,1967252,0.48391878213435,24.056331761286,16.70
CYP,2004,Male,495582,0.49047646055502,,0.00
CYP,2005,Male,503717,0.4901611994538,37.195899305993,9.67
CYP,2006,Male,512320,0.49002100769745,40.842801994709,9.72
CYP,2007,Male,521406,0.49017833110793,40.776847645987,9.82
CYP,2008,Male,530044,0.49007062690881,40.593458299502,9.83
CYP,2009,Male,537278,0.48928513169287,39.567675777701,9.84
CYP,2010,Male,542773,0.48783480235369,39.902366989655,9.78
CYP,2011,Male,547526,0.48676095652164,39.034967179807,9.69
CYP,2012,Male,551705,0.48606456298121,36.391547631031,16.14
CYP,2013,Male,556208,0.48625325969709,33.437896150462,16.09
CYP,2014,Male,560754,0.48664102564103,32.400298736867,16.83
CYP,2015,Male,564485,0.48621146435453,33.491060339689,16.68
CYP,2016,Male,569275,0.48648208987421,35.143640644432,16.51
CYP,2017,Male,575023,0.48743802658393,36.872441365321,16.31
CYP,2018,Male,580030,0.48772326077599,37.996748429229,9.95
CYP,2019,Male,585440,0.48844786898946,39.647198702174,16.44
CZE,2002,Male,4963435,0.48675849524104,,0.00
CZE,2004,Male,4967996,0.48719695366916,,0.00
CZE,2005,Male,4976680,0.48737392579853,22.807352227166,9.89
CZE,2006,Male,4997132,0.48805344743821,23.924636533571,9.63
CZE,2007,Male,5032385,0.48863674152908,25.120545141963,9.15
CZE,2008,Male,5085283,0.48969451309248,25.720596080893,8.94
CZE,2009,Male,5125586,0.49077158041751,26.287891291969,9.17
CZE,2010,Male,5142215,0.49093125578756,26.244542102753,9.55
CZE,2011,Male,5151823,0.49083274854671,26.573606414971,9.68
CZE,2012,Male,5160831,0.4910034748647,26.167289028872,9.35
CZE,2013,Male,5163439,0.49108859014133,26.207250318617,9.52
CZE,2014,Male,5168728,0.49107441398597,26.568264507726,9.13
CZE,2015,Male,5180750,0.49124994365776,27.839383778469,9.08
CZE,2016,Male,5192467,0.49141625472352,28.867758247473,8.84
CZE,2017,Male,5208365,0.49161314778019,29.661152097847,8.76
CZE,2018,Male,5229567,0.49196644126727,31.028060777094,8.63
CZE,2019,Male,5255061,0.49242182951793,32.454825750661,8.66
COD,2004,Male,,,,0.00
COD,2012,Male,,,,0.00
DNK,2000,Male,2638864,0.494204899794,,0.00
DNK,2003,Male,2665917,0.49455178566685,42.924872633473,9.13
DNK,2004,Male,2673539,0.49468564039099,43.78222712069,9.07
DNK,2005,Male,2681263,0.49474988473419,43.967101669407,8.89
DNK,2006,Male,2690702,0.49486251301023,44.771833525674,8.91
